Date,Workout Name,Duration,Exercise Name,Set Order,Weight,Reps,Distance,Seconds,RPE
2022-04-01 18:51:19,"pull 2",1h 38m,"Bent Over Row (Barbell)",W,45.0,10.0,0,0.0,
2022-04-01 18:51:19,"pull 2",1h 38m,"Bent Over Row (Barbell)",W,95.0,8.0,0,0.0,
2022-04-01 18:51:19,"pull 2",1h 38m,"Bent Over Row (Barbell)",W,115.0,6.0,0,0.0,
2022-04-01 18:51:19,"pull 2",1h 38m,"Bent Over Row (Barbell)",1,155.0,8.0,0,0.0,
2022-04-01 18:51:19,"pull 2",1h 38m,"Bent Over Row (Barbell)",2,155.0,8.0,0,0.0,
2022-04-01 18:51:19,"pull 2",1h 38m,"Bent Over Row (Barbell)",3,155.0,8.0,0,0.0,
2022-04-01 18:51:19,"pull 2",1h 38m,"Bent Over Row (Barbell)",4,155.0,6.0,0,0.0,
2022-04-01 18:51:19,"pull 2",1h 38m,"Bent Over Row (Barbell)",5,155.0,6.0,0,0.0,
2022-04-01 18:51:19,"pull 2",1h 38m,"Bent Over Row (Barbell)",D,115.0,20.0,0,0.0,
2022-04-01 18:51:19,"pull 2",1h 38m,"Lat Pulldown (Cable)",1,120.0,8.0,0,0.0,
2022-04-01 18:51:19,"pull 2",1h 38m,"Lat Pulldown (Cable)",2,110.0,9.0,0,0.0,
2022-04-01 18:51:19,"pull 2",1h 38m,"Lat Pulldown (Cable)",3,100.0,10.0,0,0.0,
2022-04-01 18:51:19,"pull 2",1h 38m,"Lat Pulldown (Cable)",4,100.0,8.0,0,0.0,
2022-04-01 18:51:19,"pull 2",1h 38m,"Lat Pulldown (Cable)",5,100.0,9.0,0,0.0,
2022-04-01 18:51:19,"pull 2",1h 38m,"Lat Pulldown (Cable)",D,80.0,15.0,0,0.0,
2022-04-01 18:51:19,"pull 2",1h 38m,"Seated Row (Cable)",1,90.0,15.0,0,0.0,
2022-04-01 18:51:19,"pull 2",1h 38m,"Seated Row (Cable)",2,100.0,10.0,0,0.0,
2022-04-01 18:51:19,"pull 2",1h 38m,"Seated Row (Cable)",3,100.0,10.0,0,0.0,
2022-04-01 18:51:19,"pull 2",1h 38m,"Seated Row (Cable)",4,100.0,10.0,0,0.0,
2022-04-01 18:51:19,"pull 2",1h 38m,"Seated Row (Cable)",5,100.0,10.0,0,0.0,
2022-04-01 18:51:19,"pull 2",1h 38m,"Seated Row (Cable)",6,60.0,20.0,0,0.0,
2022-04-01 18:51:19,"pull 2",1h 38m,"Pull Up",1,155.0,10.0,0,0.0,
2022-04-01 18:51:19,"pull 2",1h 38m,"Pull Up",2,155.0,10.0,0,0.0,
2022-04-01 18:51:19,"pull 2",1h 38m,"Pull Up",3,155.0,10.0,0,0.0,
2022-04-01 18:51:19,"pull 2",1h 38m,"Pull Up",4,145.0,10.0,0,0.0,
2022-04-01 18:51:19,"pull 2",1h 38m,"Pull Up",5,145.0,10.0,0,0.0,
2022-04-01 18:51:19,"pull 2",1h 38m,"Arm Pulldown",1,50.0,10.0,0,0.0,
2022-04-01 18:51:19,"pull 2",1h 38m,"Arm Pulldown",2,50.0,10.0,0,0.0,
2022-04-01 18:51:19,"pull 2",1h 38m,"Arm Pulldown",3,50.0,10.0,0,0.0,
2022-04-01 18:51:19,"pull 2",1h 38m,"Arm Pulldown",4,50.0,10.0,0,0.0,
2022-04-01 18:51:19,"pull 2",1h 38m,"Arm Pulldown",5,50.0,10.0,0,0.0,
2022-04-01 18:51:19,"pull 2",1h 38m,"Face Pull (Cable)",1,50.0,10.0,0,0.0,
2022-04-01 18:51:19,"pull 2",1h 38m,"Face Pull (Cable)",2,50.0,10.0,0,0.0,
2022-04-01 18:51:19,"pull 2",1h 38m,"Face Pull (Cable)",3,50.0,10.0,0,0.0,
2022-04-01 18:51:19,"pull 2",1h 38m,"Face Pull (Cable)",4,50.0,10.0,0,0.0,
2022-04-01 18:51:19,"pull 2",1h 38m,"Reverse Fly (Machine)",1,70.0,10.0,0,0.0,
2022-04-01 18:51:19,"pull 2",1h 38m,"Reverse Fly (Machine)",2,70.0,10.0,0,0.0,
2022-04-01 18:51:19,"pull 2",1h 38m,"Reverse Fly (Machine)",3,70.0,10.0,0,0.0,
2022-04-01 18:51:19,"pull 2",1h 38m,"Reverse Fly (Machine)",4,70.0,10.0,0,0.0,
2022-04-03 16:25:19,"Push 1",2h 4m,"Bench Press (Barbell)",W,45.0,10.0,0,0.0,
2022-04-03 16:25:19,"Push 1",2h 4m,"Bench Press (Barbell)",W,95.0,8.0,0,0.0,
2022-04-03 16:25:19,"Push 1",2h 4m,"Bench Press (Barbell)",W,115.0,6.0,0,0.0,
2022-04-03 16:25:19,"Push 1",2h 4m,"Bench Press (Barbell)",1,135.0,4.0,0,0.0,
2022-04-03 16:25:19,"Push 1",2h 4m,"Bench Press (Barbell)",2,135.0,3.0,0,0.0,
2022-04-03 16:25:19,"Push 1",2h 4m,"Bench Press (Barbell)",3,135.0,2.0,0,0.0,
2022-04-03 16:25:19,"Push 1",2h 4m,"Bench Press (Barbell)",4,115.0,8.0,0,0.0,
2022-04-03 16:25:19,"Push 1",2h 4m,"Bench Press (Barbell)",5,125.0,4.0,0,0.0,
2022-04-03 16:25:19,"Push 1",2h 4m,"Incline Bench Press (Dumbbell)",1,100.0,6.0,0,0.0,
2022-04-03 16:25:19,"Push 1",2h 4m,"Incline Bench Press (Dumbbell)",2,100.0,5.0,0,0.0,
2022-04-03 16:25:19,"Push 1",2h 4m,"Incline Bench Press (Dumbbell)",3,100.0,10.0,0,0.0,
2022-04-03 16:25:19,"Push 1",2h 4m,"Incline Bench Press (Dumbbell)",4,100.0,10.0,0,0.0,
2022-04-03 16:25:19,"Push 1",2h 4m,"Incline Bench Press (Dumbbell)",5,100.0,10.0,0,0.0,
2022-04-03 16:25:19,"Push 1",2h 4m,"Chest Dip",F,145.0,12.0,0,0.0,
2022-04-03 16:25:19,"Push 1",2h 4m,"Chest Dip",F,160.0,6.0,0,0.0,
2022-04-03 16:25:19,"Push 1",2h 4m,"Chest Dip",F,160.0,6.0,0,0.0,
2022-04-03 16:25:19,"Push 1",2h 4m,"Chest Dip",F,160.0,8.0,0,0.0,
2022-04-03 16:25:19,"Push 1",2h 4m,"Chest Dip",F,160.0,7.0,0,0.0,
2022-04-03 16:25:19,"Push 1",2h 4m,"Chest Dip",F,160.0,7.0,0,0.0,
2022-04-03 16:25:19,"Push 1",2h 4m,"Chest Fly",1,65.0,15.0,0,0.0,
2022-04-03 16:25:19,"Push 1",2h 4m,"Chest Fly",2,65.0,15.0,0,0.0,
2022-04-03 16:25:19,"Push 1",2h 4m,"Chest Fly",3,65.0,15.0,0,0.0,
2022-04-03 16:25:19,"Push 1",2h 4m,"Chest Fly",4,65.0,15.0,0,0.0,
2022-04-03 16:25:19,"Push 1",2h 4m,"Chest Fly",5,65.0,15.0,0,0.0,
2022-04-03 16:25:19,"Push 1",2h 4m,"Skullcrusher (Barbell)",1,40.0,8.0,0,0.0,
2022-04-03 16:25:19,"Push 1",2h 4m,"Skullcrusher (Barbell)",2,40.0,8.0,0,0.0,
2022-04-03 16:25:19,"Push 1",2h 4m,"Skullcrusher (Barbell)",3,40.0,8.0,0,0.0,
2022-04-03 16:25:19,"Push 1",2h 4m,"Skullcrusher (Barbell)",4,40.0,8.0,0,0.0,
2022-04-03 16:25:19,"Push 1",2h 4m,"Triceps Pushdown (Cable - Straight Bar)",1,60.0,8.0,0,0.0,
2022-04-03 16:25:19,"Push 1",2h 4m,"Triceps Pushdown (Cable - Straight Bar)",2,50.0,6.0,0,0.0,
2022-04-03 16:25:19,"Push 1",2h 4m,"Triceps Pushdown (Cable - Straight Bar)",3,50.0,6.0,0,0.0,
2022-04-07 18:35:50,"Push 2",4h 56m,"Overhead Press (Barbell)",1,45.0,10.0,0,0.0,
2022-04-07 18:35:50,"Push 2",4h 56m,"Overhead Press (Barbell)",2,45.0,10.0,0,0.0,
2022-04-07 18:35:50,"Push 2",4h 56m,"Overhead Press (Barbell)",3,65.0,8.0,0,0.0,
